keys,en,es,fr,de,pt,ru,zh,ja,ar,hi
"Toolbar Bg","Toolbar Bg","Fondo Barra","Fond barre","Symbolleisten-HG","Fundo da barra","Фон панели инструментов","工具栏背景","ツールバー背景","خلفية شريط الأدوات","टूलबार पृष्ठभूमि"
"Ruler Bg","Ruler Bg","Fondo Regla","Fond règle","Lineal-HG","Fundo da régua","Фон линейки","标尺背景","ルーラー背景","خلفية المسطرة","रूलर पृष्ठभूमि"
"Canvas Bg","Canvas Bg","Fondo Lienzo","Fond toile","Leinwand-HG","Fundo da tela","Фон холста","画布背景","キャンバス背景","خلفية اللوحة","कैनवस पृष्ठभूमि"
"Artboard Bg","Artboard Bg","Fondo Mesa","Fond planche","Zeichenflächen-HG","Fundo da mesa","Фон монтажной области","画板背景","アートボード背景","خلفية لوح الرسم","आर्टबोर्ड पृष्ठभूमि"
"Input Bg","Input Bg","Fondo Input","Fond saisie","Eingabe-HG","Fundo de entrada","Фон ввода","输入背景","入力背景","خلفية الإدخال","इनपुट पृष्ठभूमि"
"Input Border","Input Border","Borde Input","Bordure saisie","Eingaberand","Borda de entrada","Граница ввода","输入边框","入力枠線","حدود الإدخال","इनपुट बॉर्डर"
"Scrollbar Bg","Scrollbar Bg","Fondo Scroll","Fond défilement","Bildlauf-HG","Fundo da barra de rolagem","Фон полосы прокрутки","滚动条背景","スクロールバー背景","خلفية شريط التمرير","स्क्रॉलबार पृष्ठभूमि"
"Scrollbar Grab","Scrollbar Grab","Asidero Scroll","Poignée défilement","Bildlaufgriff","Alça de rolagem","Ползунок прокрутки","滚动条滑块","スクロールバーつまみ","مقبض التمرير","स्क्रॉलबार ग्रैब"
"Snapping","Snapping","Snapping","Accrochage","Fangen","Snap","Привязка","吸附","スナップ","التقاط","स्नैपिंग"
"Grid Snap","Grid Snap","Grid Snap","Grille","Rasterfang","Grade","Сетка","网格对齐","グリッドスナップ","التقاط الشبكة","ग्रिड स्नैप"
"Grid Size","Grid Size","Grid Size","Taille grille","Rastergröße","Tamanho da grade","Размер сетки","网格大小","グリッドサイズ","حجم الشبكة","ग्रिड आकार"
"Search actions...","Search actions...","Search actions...","Chercher actions...","Aktionen suchen...","Buscar ações...","Поиск действий...","搜索操作...","アクションを検索...","بحث عن إجراءات...","क्रियाएँ खोजें..."
"Theme","Theme","tema","Thème","Design","Tema","Тема","主题","テーマ","السمة","थीम"
"Snap","Snap","snap","Snap","Snap","Snap","Привязка","吸附","スナップ","Snap","Snap"
"Duplicate","Duplicate","Duplicate","Dupliquer","Duplizieren","Duplicar","Дублировать","复制","複製","تكرار","डुप्लिकेट"
"Remove","Remove","Remove","Supprimer","Entfernen","Remover","Удалить","删除","削除","إزالة","हटाएँ"
"Rename","Rename","Rename","Renommer","Umbenennen","Renomear","Переименовать","重命名","名前変更","إعادة تسمية","नाम बदलें"
"Position","Position","Posición","Position","Position","Posição","Позиция","位置","位置","الموضع","स्थिति"
"Size","Size","Tamaño","Taille","Größe","Tamanho","Размер","大小","サイズ","الحجم","आकार"
"Rotation","Rotation","Rotación","Rotation","Drehung","Rotação","Поворот","旋转","回転","دوران","रोटेशन"
"Color Palette","Color Palette","Color de palette","Palette de couleurs","Farbpalette","Paleta de cores","Палитра цветов","调色板","カラーパレット","لوحة الألوان","रंग पैलेट"
"Color:","Color:","Color:","Couleur:","Farbe:","Cor:","Цвет:","颜色:","色:","اللون:","रंग:"
"Press a key...","Press a key...","Press a key...","Appuyez sur une touche...","Taste drücken...","Pressione uma tecla...","Нажмите клавишу...","按下一个键...","キーを押してください...","اضغط على مفتاح...","एक कुंजी दबाएं..."
"Settings","Settings","Configuración","Paramètres","Einstellungen","Configurações","Настройки","设置","設定","الإعدادات","सेटिंग्स"
"Window","Window","Ventana","Fenêtre","Fenster","Janela","Окно","窗口","ウィンドウ","نافذة","विंडो"
"Window Mode","Window Mode","Modo ventana","Mode fenêtre","Fenstermodus","Modo de janela","Режим окна","窗口模式","ウィンドウモード","وضع النافذة","विंडो मोड"
"Interface Scale","Interface Scale","Escala de interfaz","Échelle d'interface","Oberflächenmaßstab","Escala da interface","Масштаб интерфейса","界面比例","インターフェーススケール","مقياس الواجهة","इंटरफ़ेस स्केल"
"Use Desktop Resolution","Use Desktop Resolution","Usar resolución del escritorio","Utiliser la résolution du bureau","Desktop-Auflösung verwenden","Usar resolução da área de trabalho","Использовать разрешение рабочего стола","使用桌面分辨率","デスクトップ解像度を使用","استخدام دقة سطح المكتب","डेस्कटॉप रिज़ॉल्यूशन का उपयोग करें"
"Custom Resolution","Custom Resolution","Resolución personalizada","Résolution personnalisée","Benutzerdefinierte Auflösung","Resolução personalizada","Пользовательское разрешение","自定义分辨率","カスタム解像度","دقة مخصصة","कस्टम रिज़ॉल्यूशन"
"Width × Height","Width × Height","Ancho × Alto","Largeur × Hauteur","Breite × Höhe","Largura × Altura","Ширина × Высота","宽 × 高","幅 × 高さ","العرض × الارتفاع","चौड़ाई × ऊंचाई"
"Horizontal Ruler","Horizontal Ruler","Regla horizontal","Règle horizontale","Horizontales Lineal","Régua horizontal","Горизонтальная линейка","水平标尺","水平ルーラー","مسطرة أفقية","क्षैतिज रूलर"
"Vertical Ruler","Vertical Ruler","Regla vertical","Règle verticale","Vertikales Lineal","Régua vertical","Вертикальная линейка","垂直标尺","垂直ルーラー","مسطرة رأسية","लंबवत रूलर"
"Show Guides","Show Guides","Mostrar guías","Afficher les guides","Führungen anzeigen","Mostrar guias","Показать направляющие","显示参考线","ガイドを表示","إظهار الأدلة","गाइड दिखाएं"
"Snap to Guides","Snap to Guides","Ajustar a guías","Aligner sur les guides","An Führungen ausrichten","Ajustar às guias","Привязать к направляющим","对齐到参考线","ガイドにスナップ","محاذاة للأدلة","गाइड पर स्नैप करें"
"Drawing","Drawing","Dibujo","Dessin","Zeichnung","Desenho","Рисование","绘图","描画","رسم","ड्राइंग"
"Fill Color","Fill Color","Color relleno","Couleur de remplissage","Füllfarbe","Cor de preenchimento","Цвет заливки","填充颜色","塗りつぶし色","لون التعبئة","भरने का रंग"
"Stroke Color","Stroke Color","Color trazo","Couleur du trait","Strichfarbe","Cor do traço","Цвет обводки","描边颜色","ストローク色","لون الحد","स्ट्रोक रंग"
"Apply to Selection","Apply to Selection","Aplicar a selección","Appliquer à la sélection","Auf Auswahl anwenden","Aplicar à seleção","Применить к выделению","应用到选择","選択に適用","تطبيق على التحديد","चयन पर लागू करें"
"Dark / Light Mode","Dark / Light Mode","Modo oscuro / claro","Mode sombre / clair","Dunkel / Hell Modus","Modo escuro / claro","Тёмный / Светлый режим","深色/浅色模式","ダーク/ライトモード","الوضع الداكن / الفاتح","डार्क / लाइट मोड"
"UI Colors","UI Colors","Colores interfaz","Couleurs d'interface","UI-Farben","Cores da interface","Цвета интерфейса","界面颜色","UI色","ألوان الواجهة","इंटरफ़ेस रंग"
"LAYERS","LAYERS","CAPAS","CALQUES","EBENEN","CAMADAS","СЛОИ","图层","レイヤー","طبقات","परतें"
"New","New","Nuevo","Nouveau","Neu","Novo","Новый","新建","新規","جديد","नया"
"Recent","Recent","Reciente","Récent","Letzte","Recente","Недавние","最近","最近","الأخيرة","हाल के"
"Files","Files","Archivos","Fichiers","Dateien","Arquivos","Файлы","文件","ファイル","ملفات","फ़ाइलें"
"Recover","Recover","Recuperar","Récupérer","Wiederherstellen","Recuperar","Восстановить","恢复","回復","استرداد","पुनर्प्राप्त करें"
"Details","Details","Detalles","Détails","Details","Detalhes","Детали","详情","詳細","التفاصيل","विवरण"
"Quantity","Quantity","Cantidad","Quantité","Menge","Quantidade","Количество","数量","数量","الكمية","मात्रा"
"Resolution","Resolution","Resolucion","Résolution","Auflösung","Resolução","Разрешение","分辨率","解像度","الدقة","रिज़ॉल्यूशन"
"Work Table","Work Table","Mesa trabajo","Table de travail","Arbeitstisch","Mesa de trabalho","Рабочий стол","工作台","ワークテーブル","طاولة العمل","कार्य तालिका"
"Format","Format","Formato","Format","Format","Formato","Формат","格式","形式","التنسيق","प्रारूप"
"Pencils","Pencils","Penciles","Crayons","Stifte","Lápis","Карандаши","铅笔","鉛筆","أقلام رصاص","पेंसिल"
"Pencil Name","Pencil Name","Nombre pencil","Nom du crayon","Stiftname","Nome do lápis","Название карандаша","铅笔名称","鉛筆名","اسم القلم الرصاص","पेंसिल का नाम"
"Start Tip","Start Tip","Pico iniciar","Pointe de départ","Startspitze","Ponta inicial","Начальный наконечник","起始尖端","開始チップ","طرف البداية","शुरुआती टिप"
"End Cap","End Cap","Remate","Embout","Endkappe","Remate","Конечная заглушка","端盖","エンドキャップ","غطاء النهاية","एंड कैप"
"Start","Start","Inicio","Début","Start","Início","Начало","开始","開始","بداية","शुरू"
"Stroke","Stroke","Trazo","Trait","Strich","Traço","Обводка","描边","ストローク","الحد","स्ट्रोक"
"End","End","Fin","Fin","Ende","Fim","Конец","结束","終了","نهاية","अंत"
"Option","Option","Opcion","Option","Option","Opção","Опция","选项","オプション","خيار","विकल्प"
"Numeric Panel","Numeric Panel","Panel numérico","Panneau numérique","Zahlenfeld","Painel numérico","Числовая панель","数字面板","数値パネル","اللوحة الرقمية","संख्यात्मक पैनल"
"Outline","Outline","Contorno","Contour","Umriss","Contorno","Контур","轮廓","アウトライン","مخطط","रूपरेखा"
"Inner Shadow","Inner Shadow","Sombra interior","Ombre intérieure","Innerer Schatten","Sombra interna","Внутренняя тень","内阴影","内側の影","ظل داخلي","आंतरिक छाया"
"Drop Shadow","Drop Shadow","Sombra exterior","Ombre extérieure","Schlagschatten","Sombra externa","Внешняя тень","外阴影","ドロップシャドウ","ظل خارجي","बाहरी छाया"
"Color Overlay","Color Overlay","Superposicion de color","Superposition de couleur","Farbüberlagerung","Sobreposição de cor","Наложение цвета","颜色叠加","カラーオーバーレイ","تراكب اللون","रंग ओवरले"
"Gradient Overlay","Gradient Overlay","Superposicion de degradado","Superposition de dégradé","Farbverlauf-Überlagerung","Sobreposição de gradiente","Наложение градиента","渐变叠加","グラデーションオーバーレイ","تراكب التدرج","ग्रेडिएंट ओवरले"
"Inner Glow","Inner Glow","Resplendor interior","Lueur intérieure","Inneres Leuchten","Brilho interno","Внутреннее свечение","内发光","内側の輝き","توهج داخلي","आंतरिक चमक"
"Radius","Radius","Radio","Rayon","Radius","Raio","Радиус","半径","半径","نصف القطر","त्रिज्या"
"Preserve Alpha","Preserve Alpha","convervar alfa","Conserver alpha","Alpha beibehalten","Preservar alfa","Сохранять альфа","保留 Alpha","アルファを保持","الحفاظ على ألفا","अल्फा संरक्षित करें"
"Script Name","Script Name","Nombre Script","Nom du script","Skriptname","Nome do script","Имя скрипта","脚本名称","スクリプト名","اسم السكربت","स्क्रिप्ट नाम"
"Generate Vectorizer","Generate Vectorizer","Generation vectorizer","Générer vectoriseur","Vektorisierer generieren","Gerar vetorizador","Создать векторизатор","生成矢量化","ベクトライザーを生成","توليد المتجه","वेक्टराइज़र उत्पन्न करें"
"pixels","pixels","pixeles","pixels","Pixel","pixels","пиксели","像素","ピクセル","بكسل","पिक्सेल"
"Recent Files","Recent Files","Archivos recientes","","","","","","","",""
"Recovery","Recovery","Recuperación","","","","","","","",""
"Files","Files","Archivos","","","","","","","",""
"Desktop (%d)","Desktop (%d)","Escritorio (%d)","","","","","","","",""
"No documents exist","No documents exist","No existe documentos","","","","","","","",""
"Cannot open folder","Cannot open folder","No se puede abrir la carpeta","","","","","","","",""
"Search recent files...","Search recent files...","Buscar archivos recientes...","","","","","","","",""
"Search recovery files...","Search recovery files...","Buscar archivos de recuperación...","","","","","","","",""
"Search files...","Search files...","Buscar archivos...","","","","","","","",""
"Details","Details","Detalles","","","","","","","",""
"Icon","Icon","Icono","","","","","","","",""
"Save","Save","Guardar","","","","","","","",""
"Save As","Save As","Guardar como","","","","","","","",""
"Recent","Recent","Recientes","","","","","","","",""
"Recover","Recover","Recuperar","","","","","","","",""
"New","New","Nuevo","","","","","","","",""
"Press a key or mouse...","Press a key or mouse...","Pulsa una tecla o botón del ratón...","","","","","","","",""
"Reset","Reset","Restablecer","","","","","","","",""
"Search actions...","Search actions...","Buscar acciones...","","","","","","","",""
"Listening for input... (Esc cancela)","Listening for input... (Esc cancela)","Escuchando entrada... (Esc cancela)","","","","","","","",""
"Add binding","Add binding","Añadir atajo","","","","","","","",""
"Remove binding","Remove binding","Quitar atajo","","","","","","","",""
